station,peak_deficit,deficit_hours,total_hours,deficit_ratio,dock_pressure_score,recommended_docks
Western Ave at Everett St,8.0,8,19,0.42105263157894735,21.642105263157895,0
One Memorial Drive,5.0,6,13,0.46153846153846156,21.461538461538463,0
Hyde Square - Centre St at Perkins St,2.0,3,6,0.5,21.2,0
Mass Ave at Grafton St,2.0,2,4,0.5,21.2,0
Charles River Greenway - California St. at Fifth Ave,2.0,7,14,0.5,21.2,0
Cambridge St at Joy St,4.0,6,13,0.46153846153846156,20.861538461538462,0
Vassal Lane at Tobin/VLUS,6.0,6,14,0.42857142857142855,20.74285714285714,0
30 Dane St,6.0,3,7,0.42857142857142855,20.74285714285714,0
Surface Rd at Summer St,6.0,3,7,0.42857142857142855,20.74285714285714,0
99 Coolidge Ave,7.0,7,17,0.4117647058823529,20.670588235294115,0
Hormel Stadium,1.0,1,2,0.5,20.6,0
Boston Medical Center - E Concord St at Harrison Ave,1.0,2,4,0.5,20.6,0
Broadway at Lynde St,1.0,1,2,0.5,20.6,0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,1.0,5,10,0.5,20.6,0
Boylston St at Exeter St,3.0,7,15,0.4666666666666667,20.46666666666667,0
Elm St at White St,6.0,5,12,0.4166666666666667,20.266666666666666,0
Parker St at Huntington Ave,5.0,3,7,0.42857142857142855,20.142857142857142,0
St Mary's,6.0,7,17,0.4117647058823529,20.070588235294117,0
Ames St at Broadway,3.0,4,9,0.4444444444444444,19.57777777777778,0
Nashua Street at Red Auerbach Way,4.0,3,7,0.42857142857142855,19.54285714285714,0
Lincoln St at Empire St,9.0,6,17,0.35294117647058826,19.51764705882353,0
Clarendon St at Newbury St,2.0,5,11,0.45454545454545453,19.381818181818183,0
Beacon St at Massachusetts Ave,4.0,8,19,0.42105263157894735,19.242105263157892,0
Lower Cambridgeport at Magazine St / Riverside Rd,6.0,7,18,0.3888888888888889,19.15555555555556,0
Washington St at Walnut St,5.0,6,15,0.4,19.0,0
Watertown St at Albemarle Rd,9.0,5,15,0.3333333333333333,18.73333333333333,0
Watertown Town Hall,11.0,6,20,0.3,18.6,0
700 Commonwealth Ave.,4.0,6,15,0.4,18.4,0
Discovery Park - 30 Acorn Park Drive,2.0,6,14,0.42857142857142855,18.34285714285714,0
Chinatown T Stop,6.0,4,11,0.36363636363636365,18.145454545454548,0
South Station - 700 Atlantic Ave,3.0,2,5,0.4,17.8,0
California at Chapel,11.0,5,18,0.2777777777777778,17.711111111111112,0
359 Broadway - Broadway at Fayette Street,2.0,6,15,0.4,17.2,0
Community Path at Cedar Street,3.0,5,13,0.38461538461538464,17.184615384615388,0
Cambridge St - at Columbia St / Webster Ave,4.0,4,11,0.36363636363636365,16.945454545454545,0
Porter Square Station,4.0,7,20,0.35,16.4,0
Auburndale,2.0,4,11,0.36363636363636365,15.745454545454546,0
Commonwealth Ave at Naples Rd,3.0,3,9,0.3333333333333333,15.133333333333333,0
W Broadway at D St,3.0,1,3,0.3333333333333333,15.133333333333333,0
Broad St at Central St,2.0,1,3,0.3333333333333333,14.533333333333331,0
Huntington Ave at Mass Art,5.0,2,7,0.2857142857142857,14.428571428571429,0
Stony Brook T Stop,1.0,1,3,0.3333333333333333,13.933333333333332,0
Tremont St at W. Dedham St,1.0,3,9,0.3333333333333333,13.933333333333332,0
Lesley University,1.0,4,13,0.3076923076923077,12.907692307692308,0
Newton Highlands T,1.0,2,7,0.2857142857142857,12.028571428571428,0
Boylston St at Fairfield St,2.0,5,19,0.2631578947368421,11.726315789473684,0
Commonwealth Ave at Blandford Mall,1.0,1,4,0.25,10.6,0
Commonwealth Ave At Babcock St,4.0,3,19,0.15789473684210525,8.715789473684211,0
JFK Crossing at Harvard St. / Thorndike St.,1.0,3,17,0.17647058823529413,7.658823529411765,0
West Newton Armory,0.0,0,1,0.0,0.0,0
Main St at Baldwin St,0.0,0,1,0.0,0.0,0
Assembly Square T,0.0,0,2,0.0,0.0,0
O'Brien Highway at First Street,0.0,0,2,0.0,0.0,0
Shawmut Ave at Oak St W,0.0,0,2,0.0,0.0,0
Foss Park,0.0,0,1,0.0,0.0,0
