station,peak_deficit,deficit_hours,total_hours,deficit_ratio,dock_pressure_score,recommended_docks
Broadway at Kittie Knox Bike Path,9.0,3,3,1.0,45.4,4
Edgerly Education Center,24.0,10,13,0.7692307692307693,45.16923076923077,4
Davis Square,38.0,11,20,0.55,44.800000000000004,4
Broadway at Maple St,8.0,4,4,1.0,44.8,4
Columbia Rd at Ceylon St,6.0,7,7,1.0,43.6,4
Linear Park - Mass. Ave. at Cameron Ave. ,37.0,9,17,0.5294117647058824,43.37647058823529,4
The Overlook at St. Gabriel's,22.0,15,20,0.75,43.2,4
Newton Library,5.0,3,3,1.0,43.0,4
Magoun Square at Trum Field,5.0,8,8,1.0,43.0,4
Main St at Thompson Sq,5.0,2,2,1.0,43.0,4
John Ahern Field at Kennedy-Longfellow School,4.0,3,3,1.0,42.4,4
Tremont St at Hamilton Pl,4.0,10,10,1.0,42.4,4
Boston College T,29.0,10,16,0.625,42.4,4
Stuart St at Berkeley St,4.0,10,10,1.0,42.4,4
Hancock St at Pleasant St,4.0,7,7,1.0,42.4,4
Seaport Square - Seaport Blvd at Northern Ave,4.0,3,3,1.0,42.4,4
Community Path at Lowell St,10.0,10,11,0.9090909090909091,42.36363636363637,4
55 Wheeler Street,30.0,9,15,0.6,42.0,4
Washington St at Temple Pl,3.0,4,4,1.0,41.8,4
Park Street T Stop - Tremont St at Park St,3.0,1,1,1.0,41.8,4
Stuart St at Charles St,3.0,7,7,1.0,41.8,4
Morgan Ave at North First St,3.0,7,7,1.0,41.8,4
Museum of Science,3.0,6,6,1.0,41.8,4
Chelsea St at Vine St,2.0,2,2,1.0,41.2,4
Medford Sq - Riverside Ave at River St,2.0,3,3,1.0,41.2,4
Hyde Square - Barbara St at Centre St,2.0,2,2,1.0,41.2,4
Mill St. at Minuteman Bikeway,2.0,6,6,1.0,41.2,4
One Beacon St,2.0,7,7,1.0,41.2,4
Broadway T Stop,2.0,1,1,1.0,41.2,4
Cary Square,2.0,1,1,1.0,41.2,4
Boston Public Market,2.0,1,1,1.0,41.2,4
Revere City Hall,2.0,2,2,1.0,41.2,4
Jamaica St at South St,2.0,4,4,1.0,41.2,4
Damrell St at Old Colony,2.0,2,2,1.0,41.2,4
Clinton St at North St,2.0,1,1,1.0,41.2,4
Commonwealth Ave at Fidelis Way,2.0,6,6,1.0,41.2,4
Washington St at Waltham St,2.0,4,4,1.0,41.2,4
Washington St at Peters Park,2.0,4,4,1.0,41.2,4
East Somerville Library (Broadway and Illinois),2.0,6,6,1.0,41.2,4
W Broadway at Dorchester St,2.0,1,1,1.0,41.2,4
Elevate at One Leighton,2.0,5,5,1.0,41.2,4
Congress St at Northern Ave,2.0,4,4,1.0,41.2,4
Tufts Sq - Main St at Medford St,2.0,2,2,1.0,41.2,4
The Dimock Center,2.0,2,2,1.0,41.2,4
Surface Rd at India St,2.0,6,6,1.0,41.2,4
Franklin St at Cambridge St,2.0,2,2,1.0,41.2,4
Commercial St at Charter St,2.0,4,4,1.0,41.2,4
Somerville City Hall,2.0,8,8,1.0,41.2,4
Shawmut Ave at Lenox St,2.0,2,2,1.0,41.2,4
Seaport Blvd at Sleeper St,2.0,3,3,1.0,41.2,4
Gardner St at Harvard Ave,2.0,4,4,1.0,41.2,4
Roxbury Crossing T Stop - Columbus Ave at Tremont St,2.0,4,4,1.0,41.2,4
Warren St at Chelsea St,9.0,8,9,0.8888888888888888,40.955555555555556,4
MIT Pacific St at Purrington St,33.0,10,19,0.5263157894736842,40.85263157894737,4
Wilson Square,6.0,13,14,0.9285714285714286,40.74285714285715,4
Edwards Playground - Main St at Eden St,1.0,1,1,1.0,40.6,4
Jackson Square T Stop,1.0,4,4,1.0,40.6,4
Dorchester Ave at Gillette Park,1.0,1,1,1.0,40.6,4
E Cottage St at Columbia Rd,1.0,2,2,1.0,40.6,4
Grand Union Blvd at Revolution Dr,1.0,1,1,1.0,40.6,4
Green Street T Stop - Green St at Amory St,1.0,4,4,1.0,40.6,4
Hale Park,1.0,1,1,1.0,40.6,4
ID Building West,1.0,2,2,1.0,40.6,4
Glendale Square (Ferry St at Broadway),1.0,1,1,1.0,40.6,4
Harbor St at Channel St,1.0,1,1,1.0,40.6,4
Kearins Playground,1.0,1,1,1.0,40.6,4
Everett Square (Broadway at Chelsea St),1.0,2,2,1.0,40.6,4
Everett Square (Broadway at Norwood St),1.0,3,3,1.0,40.6,4
Gramsdorf Playground,1.0,2,2,1.0,40.6,4
Hyde Park Ave at Walk Hill St,1.0,1,1,1.0,40.6,4
Hood Park,1.0,2,2,1.0,40.6,4
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,1.0,1,1,1.0,40.6,4
Harrison Ave at E. Dedham St,1.0,2,2,1.0,40.6,4
Fan Pier,1.0,3,3,1.0,40.6,4
Huntington Ave at Colburn St,1.0,1,1,1.0,40.6,4
Kenmore Square - 660 Beacon St,1.0,4,4,1.0,40.6,4
Knoll St at Centre St,1.0,2,2,1.0,40.6,4
Seaport Hotel - Congress St at Seaport Ln,1.0,2,2,1.0,40.6,4
Shawmut Ave at E Berkeley St,1.0,1,1,1.0,40.6,4
Somerville High School & Central Library,1.0,3,3,1.0,40.6,4
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,1.0,2,2,1.0,40.6,4
Spring St at Powell St,1.0,2,2,1.0,40.6,4
Staniford St at Merrimac St,1.0,3,3,1.0,40.6,4
Stuart St at Church St,1.0,1,1,1.0,40.6,4
Talbot Ave At Blue Hill Ave,1.0,1,1,1.0,40.6,4
Talbot Ave T Station,1.0,1,1,1.0,40.6,4
Tremont St at E Berkeley St,1.0,6,6,1.0,40.6,4
Troy Boston,1.0,1,1,1.0,40.6,4
Union Square Station,1.0,1,1,1.0,40.6,4
Union St at Herrick Rd – Newton Centre Green Line,1.0,3,3,1.0,40.6,4
Uphams Corner,1.0,3,3,1.0,40.6,4
Uphams Corner T Stop - Magnolia St at Dudley St,1.0,1,1,1.0,40.6,4
Washington St at Lenox St,1.0,2,2,1.0,40.6,4
Washington St at Melnea Cass Blvd,1.0,3,3,1.0,40.6,4
Washington St at Mina Way,1.0,2,2,1.0,40.6,4
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1.0,3,3,1.0,40.6,4
Wellington MBTA,1.0,1,1,1.0,40.6,4
Williams St at Washington St,1.0,2,2,1.0,40.6,4
Savin Hill T Stop - S Sydney St at Bay St,1.0,1,1,1.0,40.6,4
S Huntington Ave at Heath St,1.0,2,2,1.0,40.6,4
Roxbury YMCA - Warren St at MLK Blvd,1.0,2,2,1.0,40.6,4
Murphy Skating Rink - 1880 Day Blvd,1.0,2,2,1.0,40.6,4
Lechmere Canal Park,1.0,1,1,1.0,40.6,4
Lenox St at Kendall St,1.0,2,2,1.0,40.6,4
Logan Park,1.0,1,1,1.0,40.6,4
Main St at Brooks Park,1.0,1,1,1.0,40.6,4
Martha Eliot Health Center,1.0,1,1,1.0,40.6,4
Meaney Playground - Pleasant St at E Cottage St,1.0,1,1,1.0,40.6,4
Medford St at Charlestown BCYF,1.0,3,3,1.0,40.6,4
Melnea Cass Blvd at Hampden St,1.0,1,1,1.0,40.6,4
Mt. Hope St at Hyde Park Ave,1.0,1,1,1.0,40.6,4
NCAAA - Walnut Ave at Crawford St,1.0,1,1,1.0,40.6,4
Roslindale Village - Washington St,1.0,1,1,1.0,40.6,4
Curtis Hall - South St at Centre St,1.0,1,1,1.0,40.6,4
Northern Ave at Haul Rd,1.0,1,1,1.0,40.6,4
Pier 4 Blvd at Autumn Ln,1.0,2,2,1.0,40.6,4
Porzio Park,1.0,1,1,1.0,40.6,4
Post Office Square,1.0,1,1,1.0,40.6,4
Revere Beach - Markey Footbridge,1.0,1,1,1.0,40.6,4
Ring Rd,1.0,2,2,1.0,40.6,4
Ringer Park - Webley St at Armington St,1.0,2,2,1.0,40.6,4
Roslindale Village - South St,1.0,1,1,1.0,40.6,4
Nashua Street at Red Auerbach Way [Extension],1.0,2,2,1.0,40.6,4
Winthrop Circle,1.0,1,1,1.0,40.6,4
Child St at North St,1.0,1,1,1.0,40.6,4
Broadway at Beacham St,1.0,3,3,1.0,40.6,4
Boston Convention and Exhibition Center - Summer St at West Side Dr,1.0,1,1,1.0,40.6,4
