station,hour,departures,arrivals,net_flow
Centre St at Commonwealth Ave,15,1.0,3.0,2.0
Centre St at Commonwealth Ave,16,1.0,1.0,0.0
Centre St at Commonwealth Ave,17,4.0,0.0,-4.0
Centre St at Commonwealth Ave,19,1.0,0.0,-1.0
Centre St at Commonwealth Ave,23,1.0,0.0,-1.0
Centre St at Seaverns Ave,10,1.0,0.0,-1.0
Centre St at Seaverns Ave,12,1.0,0.0,-1.0
Centre St at Seaverns Ave,15,1.0,0.0,-1.0
Centre St at W. Roxbury Post Office,12,1.0,0.0,-1.0
Centre St at Washington St,4,1.0,0.0,-1.0
Centre St at Washington St,8,3.0,0.0,-3.0
Centre St at Washington St,9,3.0,1.0,-2.0
Centre St at Washington St,10,1.0,1.0,0.0
Centre St at Washington St,11,4.0,0.0,-4.0
Centre St at Washington St,12,4.0,3.0,-1.0
Centre St at Washington St,13,6.0,0.0,-6.0
Centre St at Washington St,16,5.0,3.0,-2.0
Centre St at Washington St,18,7.0,0.0,-7.0
Centre St at Washington St,19,1.0,0.0,-1.0
Centre St at Washington St,20,2.0,1.0,-1.0
Centre St at Washington St,21,4.0,4.0,0.0
Centre St at Washington St,22,3.0,2.0,-1.0
Centre St at Washington St,23,1.0,3.0,2.0
Charles Circle - Charles St at Cambridge St,0,2.0,1.0,-1.0
Charles Circle - Charles St at Cambridge St,3,1.0,0.0,-1.0
Charles Circle - Charles St at Cambridge St,6,9.0,14.0,5.0
Charles Circle - Charles St at Cambridge St,7,30.0,106.0,76.0
Charles Circle - Charles St at Cambridge St,8,2.0,6.0,4.0
Charles Circle - Charles St at Cambridge St,9,1.0,2.0,1.0
Charles Circle - Charles St at Cambridge St,10,4.0,6.0,2.0
Charles Circle - Charles St at Cambridge St,11,6.0,7.0,1.0
Charles Circle - Charles St at Cambridge St,12,4.0,10.0,6.0
Charles Circle - Charles St at Cambridge St,13,3.0,17.0,14.0
Charles Circle - Charles St at Cambridge St,14,7.0,3.0,-4.0
Charles Circle - Charles St at Cambridge St,15,12.0,9.0,-3.0
Charles Circle - Charles St at Cambridge St,16,22.0,12.0,-10.0
Charles Circle - Charles St at Cambridge St,17,63.0,10.0,-53.0
Charles Circle - Charles St at Cambridge St,18,36.0,4.0,-32.0
Charles Circle - Charles St at Cambridge St,19,10.0,9.0,-1.0
Charles Circle - Charles St at Cambridge St,20,6.0,9.0,3.0
Charles Circle - Charles St at Cambridge St,21,3.0,6.0,3.0
Charles Circle - Charles St at Cambridge St,22,8.0,7.0,-1.0
Charles Circle - Charles St at Cambridge St,23,1.0,0.0,-1.0
Charles River Greenway - California St. at Fifth Ave,0,1.0,4.0,3.0
Charles River Greenway - California St. at Fifth Ave,3,2.0,3.0,1.0
Charles River Greenway - California St. at Fifth Ave,10,1.0,0.0,-1.0
Charles River Greenway - California St. at Fifth Ave,11,2.0,1.0,-1.0
Charles River Greenway - California St. at Fifth Ave,12,2.0,1.0,-1.0
Charles River Greenway - California St. at Fifth Ave,13,1.0,3.0,2.0
Charles River Greenway - California St. at Fifth Ave,14,1.0,1.0,0.0
Charles River Greenway - California St. at Fifth Ave,17,1.0,0.0,-1.0
Charles River Greenway - California St. at Fifth Ave,18,2.0,0.0,-2.0
Charles River Greenway - California St. at Fifth Ave,19,3.0,2.0,-1.0
Charles River Greenway - California St. at Fifth Ave,20,4.0,4.0,0.0
Charles River Greenway - California St. at Fifth Ave,21,3.0,4.0,1.0
Charles River Greenway - California St. at Fifth Ave,22,4.0,2.0,-2.0
Charles River Greenway - California St. at Fifth Ave,23,2.0,3.0,1.0
Charlestown Navy Yard,1,1.0,0.0,-1.0
Charlestown Navy Yard,6,13.0,1.0,-12.0
Charlestown Navy Yard,7,4.0,0.0,-4.0
Charlestown Navy Yard,12,2.0,0.0,-2.0
Charlestown Navy Yard,15,2.0,0.0,-2.0
Charlestown Navy Yard,18,1.0,0.0,-1.0
Charlestown Navy Yard,20,1.0,0.0,-1.0
Chelsea St at Vine St,10,2.0,0.0,-2.0
Chelsea St at Vine St,11,1.0,0.0,-1.0
Chelsea Station,16,1.0,0.0,-1.0
Chestnut Hill Ave at Ledgemere Rd,6,2.0,0.0,-2.0
Chestnut Hill Ave at Ledgemere Rd,7,5.0,2.0,-3.0
Chestnut Hill Ave at Ledgemere Rd,8,5.0,0.0,-5.0
Chestnut Hill Ave at Ledgemere Rd,9,3.0,2.0,-1.0
Chestnut Hill Ave at Ledgemere Rd,10,4.0,3.0,-1.0
Chestnut Hill Ave at Ledgemere Rd,11,5.0,1.0,-4.0
Chestnut Hill Ave at Ledgemere Rd,12,6.0,3.0,-3.0
Chestnut Hill Ave at Ledgemere Rd,13,8.0,3.0,-5.0
Chestnut Hill Ave at Ledgemere Rd,14,3.0,3.0,0.0
Chestnut Hill Ave at Ledgemere Rd,15,7.0,4.0,-3.0
Chestnut Hill Ave at Ledgemere Rd,16,5.0,6.0,1.0
Chestnut Hill Ave at Ledgemere Rd,17,7.0,5.0,-2.0
Chestnut Hill Ave at Ledgemere Rd,18,3.0,4.0,1.0
Chestnut Hill Ave at Ledgemere Rd,20,2.0,6.0,4.0
Child St at North St,20,1.0,0.0,-1.0
Child Street at Brian P. Murphy Staircase,6,3.0,0.0,-3.0
Child Street at Brian P. Murphy Staircase,8,1.0,1.0,0.0
Child Street at Brian P. Murphy Staircase,10,1.0,0.0,-1.0
Child Street at Brian P. Murphy Staircase,12,7.0,0.0,-7.0
Child Street at Brian P. Murphy Staircase,19,1.0,1.0,0.0
Child Street at Brian P. Murphy Staircase,22,1.0,0.0,-1.0
Chinatown Gate Plaza,3,1.0,0.0,-1.0
Chinatown Gate Plaza,6,1.0,0.0,-1.0
Chinatown Gate Plaza,8,1.0,0.0,-1.0
Chinatown Gate Plaza,15,1.0,1.0,0.0
Chinatown Gate Plaza,16,1.0,0.0,-1.0
Chinatown Gate Plaza,17,1.0,0.0,-1.0
Chinatown Gate Plaza,18,1.0,0.0,-1.0
Chinatown Gate Plaza,19,1.0,0.0,-1.0
Chinatown T Stop,7,3.0,3.0,0.0
Chinatown T Stop,8,1.0,2.0,1.0
Chinatown T Stop,9,1.0,4.0,3.0
Chinatown T Stop,14,2.0,3.0,1.0
Chinatown T Stop,16,1.0,2.0,1.0
Chinatown T Stop,17,5.0,5.0,0.0
Chinatown T Stop,18,6.0,0.0,-6.0
Chinatown T Stop,19,2.0,2.0,0.0
Chinatown T Stop,20,3.0,0.0,-3.0
Chinatown T Stop,21,2.0,0.0,-2.0
Chinatown T Stop,22,1.0,0.0,-1.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,1,1.0,0.0,-1.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,3,2.0,0.0,-2.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,7,9.0,1.0,-8.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,8,64.0,3.0,-61.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,10,1.0,2.0,1.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,11,4.0,1.0,-3.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,12,3.0,8.0,5.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,13,10.0,7.0,-3.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,14,15.0,7.0,-8.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,15,2.0,7.0,5.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,16,13.0,11.0,-2.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,17,12.0,26.0,14.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,18,4.0,10.0,6.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,19,9.0,11.0,2.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,20,2.0,3.0,1.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,21,2.0,7.0,5.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,22,2.0,10.0,8.0
Christian Science Plaza - Massachusetts Ave at Westland Ave,23,1.0,9.0,8.0
Church St,0,1.0,0.0,-1.0
Church St,7,1.0,2.0,1.0
Church St,8,4.0,5.0,1.0
Church St,9,1.0,4.0,3.0
Church St,10,2.0,8.0,6.0
Church St,11,6.0,13.0,7.0
Church St,12,4.0,0.0,-4.0
Church St,13,4.0,5.0,1.0
Church St,14,5.0,2.0,-3.0
Church St,15,12.0,0.0,-12.0
Church St,16,28.0,4.0,-24.0
Church St,17,14.0,2.0,-12.0
Church St,18,11.0,3.0,-8.0
Church St,19,3.0,3.0,0.0
Church St,20,3.0,1.0,-2.0
Church St,21,2.0,1.0,-1.0
Church St,22,4.0,0.0,-4.0
Clarendon Hill at Broadway,8,1.0,0.0,-1.0
Clarendon Hill at Broadway,9,1.0,0.0,-1.0
Clarendon Hill at Broadway,10,2.0,1.0,-1.0
Clarendon Hill at Broadway,11,2.0,0.0,-2.0
Clarendon Hill at Broadway,12,2.0,0.0,-2.0
Clarendon Hill at Broadway,14,1.0,1.0,0.0
Clarendon Hill at Broadway,16,1.0,0.0,-1.0
Clarendon Hill at Broadway,18,3.0,2.0,-1.0
Clarendon Hill at Broadway,19,2.0,3.0,1.0
Clarendon St at Newbury St,1,1.0,0.0,-1.0
Clarendon St at Newbury St,7,1.0,1.0,0.0
Clarendon St at Newbury St,8,2.0,0.0,-2.0
Clarendon St at Newbury St,11,1.0,1.0,0.0
Clarendon St at Newbury St,12,2.0,0.0,-2.0
Clarendon St at Newbury St,14,1.0,2.0,1.0
Clarendon St at Newbury St,16,3.0,1.0,-2.0
Clarendon St at Newbury St,17,2.0,3.0,1.0
Clarendon St at Newbury St,18,1.0,3.0,2.0
Clarendon St at Newbury St,20,2.0,3.0,1.0
Clarendon St at Newbury St,22,1.0,0.0,-1.0
Cleveland Circle,0,2.0,2.0,0.0
Cleveland Circle,1,1.0,3.0,2.0
Cleveland Circle,2,1.0,3.0,2.0
Cleveland Circle,3,3.0,1.0,-2.0
Cleveland Circle,5,2.0,1.0,-1.0
Cleveland Circle,6,3.0,0.0,-3.0
Cleveland Circle,7,3.0,2.0,-1.0
Cleveland Circle,8,2.0,1.0,-1.0
Cleveland Circle,9,3.0,0.0,-3.0
Cleveland Circle,10,5.0,1.0,-4.0
Cleveland Circle,11,3.0,7.0,4.0
Cleveland Circle,12,7.0,6.0,-1.0
Cleveland Circle,13,5.0,4.0,-1.0
Cleveland Circle,14,2.0,6.0,4.0
Cleveland Circle,15,11.0,18.0,7.0
Cleveland Circle,16,4.0,16.0,12.0
Cleveland Circle,17,6.0,7.0,1.0
Cleveland Circle,18,6.0,5.0,-1.0
Cleveland Circle,19,7.0,4.0,-3.0
Cleveland Circle,20,6.0,5.0,-1.0
Cleveland Circle,21,2.0,3.0,1.0
Cleveland Circle,22,7.0,7.0,0.0
Cleveland Circle,23,6.0,3.0,-3.0
Clinton St at North St,20,2.0,0.0,-2.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,0,1.0,0.0,-1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,6,1.0,1.0,0.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,7,1.0,0.0,-1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,8,1.0,0.0,-1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,10,1.0,1.0,0.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,15,1.0,1.0,0.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,17,1.0,2.0,1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,18,1.0,2.0,1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,20,3.0,2.0,-1.0
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,21,1.0,0.0,-1.0
Columbia Rd at Ceylon St,1,6.0,0.0,-6.0
Columbia Rd at Ceylon St,2,2.0,0.0,-2.0
Columbia Rd at Ceylon St,3,1.0,0.0,-1.0
Columbia Rd at Ceylon St,17,2.0,0.0,-2.0
Columbia Rd at Ceylon St,18,4.0,0.0,-4.0
Columbia Rd at Ceylon St,20,1.0,0.0,-1.0
Columbia Rd at Ceylon St,21,5.0,0.0,-5.0
Columbia Rd at Tierney Community Center,10,1.0,0.0,-1.0
Columbia Rd at Tierney Community Center,18,1.0,0.0,-1.0
Columbus Ave at W. Canton St,8,3.0,0.0,-3.0
Columbus Ave at W. Canton St,10,1.0,2.0,1.0
Columbus Ave at W. Canton St,12,2.0,0.0,-2.0
Columbus Ave at W. Canton St,15,1.0,2.0,1.0
Columbus Ave at W. Canton St,16,4.0,1.0,-3.0
Columbus Ave at W. Canton St,20,2.0,0.0,-2.0
Commercial St at Charter St,11,2.0,0.0,-2.0
Commercial St at Charter St,12,1.0,0.0,-1.0
Commercial St at Charter St,14,1.0,0.0,-1.0
Commercial St at Charter St,18,1.0,0.0,-1.0
Commonwealth Ave At Babcock St,0,5.0,6.0,1.0
Commonwealth Ave At Babcock St,1,8.0,4.0,-4.0
Commonwealth Ave At Babcock St,4,3.0,0.0,-3.0
Commonwealth Ave At Babcock St,6,1.0,1.0,0.0
Commonwealth Ave At Babcock St,7,1.0,3.0,2.0
Commonwealth Ave At Babcock St,8,1.0,7.0,6.0
Commonwealth Ave At Babcock St,9,1.0,4.0,3.0
Commonwealth Ave At Babcock St,11,2.0,5.0,3.0
Commonwealth Ave At Babcock St,12,7.0,26.0,19.0
Commonwealth Ave At Babcock St,13,5.0,7.0,2.0
Commonwealth Ave At Babcock St,14,4.0,13.0,9.0
Commonwealth Ave At Babcock St,15,6.0,13.0,7.0
Commonwealth Ave At Babcock St,16,9.0,26.0,17.0
Commonwealth Ave At Babcock St,17,7.0,13.0,6.0
Commonwealth Ave At Babcock St,18,9.0,17.0,8.0
Commonwealth Ave At Babcock St,19,8.0,7.0,-1.0
Commonwealth Ave At Babcock St,20,9.0,10.0,1.0
Commonwealth Ave At Babcock St,21,7.0,13.0,6.0
Commonwealth Ave At Babcock St,22,4.0,6.0,2.0
Commonwealth Ave at Agganis Way,0,6.0,4.0,-2.0
Commonwealth Ave at Agganis Way,1,6.0,1.0,-5.0
Commonwealth Ave at Agganis Way,2,2.0,1.0,-1.0
Commonwealth Ave at Agganis Way,3,5.0,2.0,-3.0
Commonwealth Ave at Agganis Way,5,1.0,0.0,-1.0
Commonwealth Ave at Agganis Way,6,1.0,1.0,0.0
Commonwealth Ave at Agganis Way,8,2.0,0.0,-2.0
Commonwealth Ave at Agganis Way,9,6.0,5.0,-1.0
Commonwealth Ave at Agganis Way,10,8.0,5.0,-3.0
Commonwealth Ave at Agganis Way,11,12.0,7.0,-5.0
Commonwealth Ave at Agganis Way,12,14.0,6.0,-8.0
Commonwealth Ave at Agganis Way,13,14.0,3.0,-11.0
Commonwealth Ave at Agganis Way,14,22.0,8.0,-14.0
Commonwealth Ave at Agganis Way,15,18.0,18.0,0.0
Commonwealth Ave at Agganis Way,16,31.0,13.0,-18.0
Commonwealth Ave at Agganis Way,17,33.0,9.0,-24.0
Commonwealth Ave at Agganis Way,18,27.0,15.0,-12.0
Commonwealth Ave at Agganis Way,19,11.0,12.0,1.0
Commonwealth Ave at Agganis Way,20,11.0,11.0,0.0
Commonwealth Ave at Agganis Way,21,18.0,9.0,-9.0
Commonwealth Ave at Agganis Way,22,24.0,4.0,-20.0
Commonwealth Ave at Agganis Way,23,12.0,6.0,-6.0
Commonwealth Ave at Blandford Mall,11,1.0,0.0,-1.0
Commonwealth Ave at Blandford Mall,16,1.0,6.0,5.0
Commonwealth Ave at Blandford Mall,17,1.0,10.0,9.0
Commonwealth Ave at Blandford Mall,18,2.0,17.0,15.0
Commonwealth Ave at Chiswick Rd,2,1.0,0.0,-1.0
Commonwealth Ave at Chiswick Rd,6,1.0,0.0,-1.0
Commonwealth Ave at Chiswick Rd,7,5.0,0.0,-5.0
Commonwealth Ave at Chiswick Rd,8,20.0,0.0,-20.0
Commonwealth Ave at Chiswick Rd,9,9.0,1.0,-8.0
Commonwealth Ave at Chiswick Rd,10,17.0,1.0,-16.0
Commonwealth Ave at Chiswick Rd,11,15.0,5.0,-10.0
Commonwealth Ave at Chiswick Rd,12,39.0,9.0,-30.0
Commonwealth Ave at Chiswick Rd,13,18.0,3.0,-15.0
Commonwealth Ave at Chiswick Rd,14,8.0,7.0,-1.0
Commonwealth Ave at Chiswick Rd,15,7.0,7.0,0.0
Commonwealth Ave at Chiswick Rd,16,13.0,8.0,-5.0
Commonwealth Ave at Chiswick Rd,17,14.0,19.0,5.0
Commonwealth Ave at Chiswick Rd,18,17.0,12.0,-5.0
Commonwealth Ave at Chiswick Rd,19,8.0,15.0,7.0
Commonwealth Ave at Chiswick Rd,20,9.0,10.0,1.0
Commonwealth Ave at Chiswick Rd,21,7.0,27.0,20.0
Commonwealth Ave at Chiswick Rd,22,9.0,7.0,-2.0
Commonwealth Ave at Chiswick Rd,23,4.0,3.0,-1.0
Commonwealth Ave at Fidelis Way,6,1.0,0.0,-1.0
Commonwealth Ave at Fidelis Way,9,1.0,0.0,-1.0
Commonwealth Ave at Fidelis Way,11,1.0,0.0,-1.0
Commonwealth Ave at Fidelis Way,12,2.0,0.0,-2.0
Commonwealth Ave at Fidelis Way,13,1.0,0.0,-1.0
Commonwealth Ave at Fidelis Way,16,1.0,0.0,-1.0
Commonwealth Ave at Granby St,8,6.0,1.0,-5.0
Commonwealth Ave at Granby St,17,1.0,1.0,0.0
Commonwealth Ave at Griggs St,0,1.0,4.0,3.0
Commonwealth Ave at Griggs St,1,2.0,4.0,2.0
Commonwealth Ave at Griggs St,2,3.0,4.0,1.0
Commonwealth Ave at Griggs St,3,1.0,0.0,-1.0
Commonwealth Ave at Griggs St,5,16.0,0.0,-16.0
Commonwealth Ave at Griggs St,6,11.0,4.0,-7.0
Commonwealth Ave at Griggs St,7,5.0,13.0,8.0
Commonwealth Ave at Griggs St,8,9.0,4.0,-5.0
Commonwealth Ave at Griggs St,9,5.0,4.0,-1.0
Commonwealth Ave at Griggs St,10,6.0,3.0,-3.0
Commonwealth Ave at Griggs St,11,7.0,5.0,-2.0
Commonwealth Ave at Griggs St,12,8.0,8.0,0.0
Commonwealth Ave at Griggs St,13,10.0,6.0,-4.0
Commonwealth Ave at Griggs St,14,12.0,12.0,0.0
Commonwealth Ave at Griggs St,15,16.0,15.0,-1.0
Commonwealth Ave at Griggs St,16,20.0,13.0,-7.0
Commonwealth Ave at Griggs St,17,23.0,22.0,-1.0
Commonwealth Ave at Griggs St,18,20.0,8.0,-12.0
Commonwealth Ave at Griggs St,19,16.0,20.0,4.0
Commonwealth Ave at Griggs St,20,7.0,15.0,8.0
Commonwealth Ave at Griggs St,21,4.0,15.0,11.0
Commonwealth Ave at Griggs St,22,9.0,8.0,-1.0
Commonwealth Ave at Griggs St,23,1.0,3.0,2.0
Commonwealth Ave at Kelton St,0,5.0,5.0,0.0
Commonwealth Ave at Kelton St,1,2.0,6.0,4.0
Commonwealth Ave at Kelton St,2,1.0,0.0,-1.0
Commonwealth Ave at Kelton St,3,67.0,0.0,-67.0
Commonwealth Ave at Kelton St,4,156.0,1.0,-155.0
Commonwealth Ave at Kelton St,5,3.0,0.0,-3.0
Commonwealth Ave at Kelton St,6,4.0,2.0,-2.0
Commonwealth Ave at Kelton St,7,6.0,2.0,-4.0
Commonwealth Ave at Kelton St,8,12.0,2.0,-10.0
Commonwealth Ave at Kelton St,9,22.0,47.0,25.0
Commonwealth Ave at Kelton St,10,11.0,91.0,80.0
Commonwealth Ave at Kelton St,11,13.0,41.0,28.0
Commonwealth Ave at Kelton St,12,11.0,14.0,3.0
Commonwealth Ave at Kelton St,13,10.0,17.0,7.0
Commonwealth Ave at Kelton St,14,10.0,16.0,6.0
Commonwealth Ave at Kelton St,15,11.0,17.0,6.0
Commonwealth Ave at Kelton St,16,21.0,40.0,19.0
Commonwealth Ave at Kelton St,17,19.0,42.0,23.0
Commonwealth Ave at Kelton St,18,13.0,22.0,9.0
Commonwealth Ave at Kelton St,19,13.0,21.0,8.0
Commonwealth Ave at Kelton St,20,6.0,16.0,10.0
Commonwealth Ave at Kelton St,21,10.0,14.0,4.0
Commonwealth Ave at Kelton St,22,7.0,9.0,2.0
Commonwealth Ave at Kelton St,23,3.0,4.0,1.0
Commonwealth Ave at Naples Rd,0,3.0,0.0,-3.0
Commonwealth Ave at Naples Rd,8,1.0,0.0,-1.0
Commonwealth Ave at Naples Rd,12,1.0,4.0,3.0
Commonwealth Ave at Naples Rd,16,3.0,4.0,1.0
Commonwealth Ave at Naples Rd,17,5.0,7.0,2.0
Commonwealth Ave at Naples Rd,18,2.0,3.0,1.0
Commonwealth Ave at Naples Rd,19,4.0,1.0,-3.0
Commonwealth Ave at Naples Rd,20,4.0,5.0,1.0
Commonwealth Ave at Naples Rd,22,1.0,3.0,2.0
Community Path at Cedar Street,6,1.0,0.0,-1.0
Community Path at Cedar Street,7,2.0,1.0,-1.0
Community Path at Cedar Street,9,4.0,2.0,-2.0
Community Path at Cedar Street,10,2.0,3.0,1.0
Community Path at Cedar Street,11,3.0,0.0,-3.0
Community Path at Cedar Street,13,1.0,1.0,0.0
Community Path at Cedar Street,14,2.0,0.0,-2.0
Community Path at Cedar Street,15,2.0,2.0,0.0
Community Path at Cedar Street,16,1.0,5.0,4.0
Community Path at Cedar Street,17,2.0,6.0,4.0
Community Path at Cedar Street,18,1.0,4.0,3.0
Community Path at Cedar Street,19,1.0,2.0,1.0
Community Path at Cedar Street,20,1.0,1.0,0.0
Community Path at Lowell St,7,3.0,1.0,-2.0
Community Path at Lowell St,8,5.0,1.0,-4.0
Community Path at Lowell St,9,1.0,0.0,-1.0
Community Path at Lowell St,10,1.0,0.0,-1.0
Community Path at Lowell St,14,1.0,0.0,-1.0
Community Path at Lowell St,15,12.0,2.0,-10.0
Community Path at Lowell St,16,4.0,1.0,-3.0
Community Path at Lowell St,17,4.0,2.0,-2.0
Community Path at Lowell St,18,2.0,1.0,-1.0
Community Path at Lowell St,20,1.0,2.0,1.0
Community Path at Lowell St,21,2.0,1.0,-1.0
Concord Ave at Spinelli Place,3,1.0,0.0,-1.0
Concord Ave at Spinelli Place,6,2.0,0.0,-2.0
Concord Ave at Spinelli Place,7,13.0,13.0,0.0
Concord Ave at Spinelli Place,8,70.0,7.0,-63.0
Concord Ave at Spinelli Place,9,14.0,4.0,-10.0
Concord Ave at Spinelli Place,10,9.0,3.0,-6.0
Concord Ave at Spinelli Place,11,7.0,6.0,-1.0
Concord Ave at Spinelli Place,12,6.0,10.0,4.0
Concord Ave at Spinelli Place,13,5.0,10.0,5.0
Concord Ave at Spinelli Place,14,5.0,14.0,9.0
Concord Ave at Spinelli Place,15,14.0,11.0,-3.0
Concord Ave at Spinelli Place,16,22.0,29.0,7.0
Concord Ave at Spinelli Place,17,10.0,58.0,48.0
Concord Ave at Spinelli Place,18,9.0,9.0,0.0
Concord Ave at Spinelli Place,19,4.0,13.0,9.0
Concord Ave at Spinelli Place,20,1.0,2.0,1.0
Concord Ave at Spinelli Place,21,8.0,5.0,-3.0
Concord Ave at Spinelli Place,22,5.0,3.0,-2.0
Concord Ave at Spinelli Place,23,2.0,2.0,0.0
Congress St at Boston City Hall,0,1.0,0.0,-1.0
Congress St at Boston City Hall,13,1.0,0.0,-1.0
Congress St at Boston City Hall,16,2.0,1.0,-1.0
Congress St at Boston City Hall,17,2.0,0.0,-2.0
Congress St at Boston City Hall,18,1.0,2.0,1.0
Congress St at Boston City Hall,20,3.0,0.0,-3.0
Congress St at Boston City Hall,21,1.0,0.0,-1.0
Congress St at Boston City Hall,23,2.0,0.0,-2.0
Congress St at Northern Ave,8,2.0,0.0,-2.0
Congress St at Northern Ave,11,1.0,0.0,-1.0
Congress St at Northern Ave,16,1.0,0.0,-1.0
Congress St at Northern Ave,19,1.0,0.0,-1.0
Congress St at Sleeper St,17,1.0,0.0,-1.0
Congress St at Sleeper St,21,1.0,0.0,-1.0
Constitution Rd at Chelsea St,16,1.0,0.0,-1.0
Conway Park - Somerville Avenue,3,1.0,0.0,-1.0
Conway Park - Somerville Avenue,4,1.0,0.0,-1.0
Conway Park - Somerville Avenue,9,3.0,0.0,-3.0
Conway Park - Somerville Avenue,10,5.0,0.0,-5.0
Conway Park - Somerville Avenue,13,2.0,1.0,-1.0
Conway Park - Somerville Avenue,14,16.0,4.0,-12.0
Conway Park - Somerville Avenue,15,3.0,2.0,-1.0
Conway Park - Somerville Avenue,16,4.0,7.0,3.0
Conway Park - Somerville Avenue,17,3.0,9.0,6.0
Conway Park - Somerville Avenue,18,2.0,4.0,2.0
Conway Park - Somerville Avenue,19,1.0,2.0,1.0
Coolidge Corner - Beacon St at Centre St,6,2.0,0.0,-2.0
Coolidge Corner - Beacon St at Centre St,7,6.0,0.0,-6.0
Coolidge Corner - Beacon St at Centre St,8,12.0,1.0,-11.0
Coolidge Corner - Beacon St at Centre St,9,3.0,2.0,-1.0
Coolidge Corner - Beacon St at Centre St,10,4.0,3.0,-1.0
Coolidge Corner - Beacon St at Centre St,11,11.0,1.0,-10.0
Coolidge Corner - Beacon St at Centre St,12,11.0,5.0,-6.0
Coolidge Corner - Beacon St at Centre St,13,7.0,2.0,-5.0
Coolidge Corner - Beacon St at Centre St,14,2.0,9.0,7.0
Coolidge Corner - Beacon St at Centre St,15,1.0,13.0,12.0
Coolidge Corner - Beacon St at Centre St,16,8.0,10.0,2.0
Coolidge Corner - Beacon St at Centre St,17,4.0,11.0,7.0
Coolidge Corner - Beacon St at Centre St,18,11.0,5.0,-6.0
Coolidge Corner - Beacon St at Centre St,19,6.0,5.0,-1.0
Coolidge Corner - Beacon St at Centre St,20,6.0,7.0,1.0
Coolidge Corner - Beacon St at Centre St,21,2.0,4.0,2.0
Coolidge Corner - Beacon St at Centre St,22,1.0,3.0,2.0
Coolidge Corner - Beacon St at Centre St,23,1.0,4.0,3.0
Coolidge Sq.,0,8.0,8.0,0.0
Coolidge Sq.,1,1.0,4.0,3.0
Coolidge Sq.,4,38.0,0.0,-38.0
Coolidge Sq.,5,8.0,2.0,-6.0
Coolidge Sq.,6,13.0,3.0,-10.0
Coolidge Sq.,7,46.0,2.0,-44.0
Coolidge Sq.,8,23.0,10.0,-13.0
Coolidge Sq.,9,37.0,18.0,-19.0
Coolidge Sq.,10,40.0,25.0,-15.0
Coolidge Sq.,11,52.0,22.0,-30.0
Coolidge Sq.,12,102.0,33.0,-69.0
Coolidge Sq.,13,62.0,36.0,-26.0
Coolidge Sq.,14,54.0,52.0,-2.0
Coolidge Sq.,15,78.0,47.0,-31.0
Coolidge Sq.,16,91.0,62.0,-29.0
Coolidge Sq.,17,56.0,50.0,-6.0
Coolidge Sq.,18,41.0,74.0,33.0
Coolidge Sq.,19,32.0,65.0,33.0
Coolidge Sq.,20,26.0,70.0,44.0
Coolidge Sq.,21,31.0,137.0,106.0
Coolidge Sq.,22,12.0,72.0,60.0
Coolidge Sq.,23,7.0,23.0,16.0
Copley Square - Dartmouth St at Boylston St,7,3.0,2.0,-1.0
Copley Square - Dartmouth St at Boylston St,8,5.0,0.0,-5.0
Copley Square - Dartmouth St at Boylston St,10,1.0,0.0,-1.0
Copley Square - Dartmouth St at Boylston St,11,1.0,3.0,2.0
Copley Square - Dartmouth St at Boylston St,14,2.0,2.0,0.0
Copley Square - Dartmouth St at Boylston St,15,2.0,3.0,1.0
Copley Square - Dartmouth St at Boylston St,16,2.0,8.0,6.0
Copley Square - Dartmouth St at Boylston St,17,4.0,2.0,-2.0
Copley Square - Dartmouth St at Boylston St,19,2.0,0.0,-2.0
Copley Square - Dartmouth St at Boylston St,20,2.0,0.0,-2.0
Copley Square - Dartmouth St at Boylston St,21,4.0,2.0,-2.0
Copley Square - Dartmouth St at Boylston St,22,2.0,2.0,0.0
