station,hour,departures,arrivals,net_flow
175 N Harvard St,23,18.0,17.0,-1.0
191 Beacon St,0,1.0,0.0,-1.0
191 Beacon St,1,1.0,0.0,-1.0
191 Beacon St,8,4.0,0.0,-4.0
191 Beacon St,12,1.0,1.0,0.0
191 Beacon St,13,3.0,1.0,-2.0
191 Beacon St,16,2.0,1.0,-1.0
191 Beacon St,17,1.0,3.0,2.0
191 Beacon St,18,1.0,5.0,4.0
191 Beacon St,22,1.0,0.0,-1.0
30 Dane St,11,6.0,0.0,-6.0
30 Dane St,12,5.0,2.0,-3.0
30 Dane St,15,2.0,2.0,0.0
30 Dane St,16,2.0,4.0,2.0
30 Dane St,18,1.0,0.0,-1.0
30 Dane St,19,3.0,6.0,3.0
30 Dane St,22,1.0,2.0,1.0
325 Binney St.,9,1.0,1.0,0.0
325 Binney St.,12,1.0,0.0,-1.0
325 Binney St.,14,2.0,0.0,-2.0
325 Binney St.,15,2.0,0.0,-2.0
325 Binney St.,16,4.0,1.0,-3.0
325 Binney St.,17,1.0,0.0,-1.0
359 Broadway - Broadway at Fayette Street,0,1.0,1.0,0.0
359 Broadway - Broadway at Fayette Street,6,1.0,0.0,-1.0
359 Broadway - Broadway at Fayette Street,7,3.0,1.0,-2.0
359 Broadway - Broadway at Fayette Street,10,1.0,2.0,1.0
359 Broadway - Broadway at Fayette Street,11,1.0,1.0,0.0
359 Broadway - Broadway at Fayette Street,12,4.0,5.0,1.0
359 Broadway - Broadway at Fayette Street,13,5.0,7.0,2.0
359 Broadway - Broadway at Fayette Street,14,3.0,2.0,-1.0
359 Broadway - Broadway at Fayette Street,15,4.0,6.0,2.0
359 Broadway - Broadway at Fayette Street,16,1.0,5.0,4.0
359 Broadway - Broadway at Fayette Street,17,4.0,3.0,-1.0
359 Broadway - Broadway at Fayette Street,18,4.0,5.0,1.0
359 Broadway - Broadway at Fayette Street,19,3.0,1.0,-2.0
359 Broadway - Broadway at Fayette Street,20,4.0,2.0,-2.0
359 Broadway - Broadway at Fayette Street,21,1.0,1.0,0.0
39 Brighton Ave,8,1.0,0.0,-1.0
39 Brighton Ave,14,1.0,0.0,-1.0
39 Brighton Ave,15,1.0,1.0,0.0
515 Somerville Ave (Temp. Winter Location),14,1.0,0.0,-1.0
55 Wheeler Street,6,3.0,0.0,-3.0
55 Wheeler Street,7,8.0,2.0,-6.0
55 Wheeler Street,8,36.0,6.0,-30.0
55 Wheeler Street,9,18.0,4.0,-14.0
55 Wheeler Street,10,12.0,3.0,-9.0
55 Wheeler Street,11,6.0,3.0,-3.0
55 Wheeler Street,12,14.0,4.0,-10.0
55 Wheeler Street,13,21.0,18.0,-3.0
55 Wheeler Street,14,14.0,15.0,1.0
55 Wheeler Street,15,16.0,34.0,18.0
55 Wheeler Street,16,18.0,44.0,26.0
55 Wheeler Street,17,16.0,51.0,35.0
55 Wheeler Street,18,20.0,33.0,13.0
55 Wheeler Street,19,38.0,31.0,-7.0
55 Wheeler Street,21,5.0,7.0,2.0
555 Metropolitan Ave,9,1.0,0.0,-1.0
606 American Legion Hwy at Canterbury St,18,1.0,0.0,-1.0
615 Broadway,14,1.0,0.0,-1.0
645 Summer St,14,1.0,0.0,-1.0
699 Mt Auburn St,0,2.0,10.0,8.0
699 Mt Auburn St,1,8.0,4.0,-4.0
699 Mt Auburn St,6,3.0,7.0,4.0
699 Mt Auburn St,7,17.0,19.0,2.0
699 Mt Auburn St,8,32.0,32.0,0.0
699 Mt Auburn St,9,37.0,53.0,16.0
699 Mt Auburn St,10,33.0,38.0,5.0
699 Mt Auburn St,11,55.0,53.0,-2.0
699 Mt Auburn St,12,56.0,43.0,-13.0
